"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Smoke Tests","Critical Path","Application Availability","0","0","1","0","0"
"Smoke Tests","Critical Path","Critical User Flow","0","0","1","0","0"
"Authentication","Login","Validation","0","0","2","0","0"
"Authentication","Login","Login Page Display","0","0","1","0","0"
"Authentication","Login","Valid Login","0","0","1","0","0"
"Authentication","Logout","Valid Logout","0","0","1","0","0"
"Authentication","Login","Invalid Login","0","0","1","0","0"
"","","Authenticated Session","0","0","1","0","0"
